PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,Control_R1.raw.PG.Quantity,Control_R1.raw.PG.NrOfPrecursorsMeasured,Control_R1.raw.PG.NrOfStrippedSequencesIdentified,Control_R2.raw.PG.Quantity,Control_R2.raw.PG.NrOfPrecursorsMeasured,Control_R2.raw.PG.NrOfStrippedSequencesIdentified,Control_R3.raw.PG.Quantity,Control_R3.raw.PG.NrOfPrecursorsMeasured,Control_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R1.raw.PG.Quantity,TreatmentA_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R2.raw.PG.Quantity,TreatmentA_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R3.raw.PG.Quantity,TreatmentA_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R1.raw.PG.Quantity,TreatmentB_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R2.raw.PG.Quantity,TreatmentB_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R3.raw.PG.Quantity,TreatmentB_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R3.raw.PG.NrOfStrippedSequencesIdentified,PG.Log2FC,PG.Pvalue
P00395,GENE0395,Protein description 395,GENE0395_HUMAN,110199.0001297524,5,7,104263.14861601629,7,8,97970.71525162607,5,7,125509.88457548604,6,8,114150.31876906515,5,8,121026.27008822895,5,7,83946.37647719508,6,7,95773.58307828652,7,7,112092.09753712152,7,7,0.20776438868348635,0.030257661736943452
P00396,GENE0396,Protein description 396,GENE0396_HUMAN,56046.38153453644,2,6,33865.24390048495,2,6,38744.4765415722,2,6,56798.130260691934,4,6,41149.1698225734,3,6,43222.96045264006,3,5,38687.524531930096,4,6,43552.6517488632,2,5,45051.15837587924,3,6,0.1526957936603921,0.5899316044563241
P00397,GENE0397,Protein description 397,GENE0397_HUMAN,126285.25986622841,7,5,101331.3150162329,6,6,133424.43839640502,5,5,125682.03655734008,6,5,104021.80971344373,5,5,163016.033519184,5,5,119266.90369562691,5,6,104343.30177886934,5,6,115938.66585287951,6,6,0.10662969719949444,0.6583558347922367
P00398,GENE0398,Protein description 398,GENE0398_HUMAN,51986.742630452514,12,6,54863.37742601803,11,6,52398.2889950587,10,6,55485.90803233547,12,6,54267.35365728769,11,6,57196.22224846629,11,5,41643.991856840286,11,5,35787.090799198326,11,6,34827.77047342371,11,5,0.0682063090172722,0.10541714678489636
P00399,GENE0399,Protein description 399,GENE0399_HUMAN,88617.57183385115,6,5,110197.2668506823,5,6,77519.03621555453,5,6,114692.31842469415,4,5,88213.72836512483,5,5,80749.02300021406,5,5,70878.2953625444,4,5,64263.620551348875,5,6,68477.05471994141,4,5,0.036661631735817934,0.8711520207936583
P00400,GENE0400,Protein description 400,GENE0400_HUMAN,11662.068589274715,8,4,11060.57903920518,6,4,9746.193641508424,8,5,12133.67943377742,8,5,11842.946584775746,8,4,12905.895611893146,7,5,6684.150566771398,7,5,7933.2683769715995,6,4,8929.203000445299,6,4,0.18697133955843803,0.09326290725689376
P00401,GENE0401,Protein description 401,GENE0401_HUMAN,19577.99489328422,3,3,23753.60008621035,3,3,20977.371139115436,1,3,2939.2765394431567,2,3,2312.8782690724784,3,4,2874.0607871462007,3,3,18658.788134455343,2,4,26690.776176963984,2,3,18396.515452638465,2,3,-2.9879187887352234,2.6282306669208125e-05
P00402,GENE0402,Protein description 402,GENE0402_HUMAN,40041.35957431986,5,6,40660.527347793926,6,6,42162.7418301894,6,6,57316.38774379729,6,6,44863.02988631504,4,6,47089.687634729606,4,7,38010.679550350076,4,6,35726.09014905725,6,6,41163.90695990476,6,6,0.27293244169664277,0.06860530366758999
P00403,GENE0403,Protein description 403,GENE0403_HUMAN,142390.97426753058,3,2,144352.08293435545,2,2,156570.7767091882,3,3,189535.76749865935,3,3,161731.56485934753,1,3,109663.9204579453,1,2,122259.07963142755,2,3,92556.60265648983,1,2,141552.43805120618,1,3,0.020965255274315808,0.9341352737368259
P00404,GENE0404,Protein description 404,GENE0404_HUMAN,15072.039591778064,9,5,15118.190989165947,8,5,18222.48991961702,9,6,127035.50082551276,9,6,112952.48626256059,8,6,146964.8762688868,9,5,14791.806995898643,7,6,13556.0443765315,8,5,14611.515071753369,8,6,2.996107717774928,3.0121327785408152e-05
P00405,GENE0405,Protein description 405,GENE0405_HUMAN,95302.08523328872,4,5,76057.5519047647,4,5,85983.42037652862,5,5,81166.76186690464,4,4,103738.30008400192,5,5,94344.28570385922,4,4,366533.4988298511,6,5,415349.4061170788,5,4,525698.667126291,4,4,0.1166810469831141,0.45005462332853
P00406,GENE0406,Protein description 406,GENE0406_HUMAN,23356.96959705429,15,3,19268.023089389902,15,3,22532.499651460155,15,3,21047.951330337666,14,4,27809.379552108938,15,4,25134.25450913714,15,4,16174.094330345297,15,4,21179.95730775695,13,4,15718.973176739257,14,3,0.17894574695960763,0.28506275228460826
P00407,GENE0407,Protein description 407,GENE0407_HUMAN,21453.49798144433,9,6,24126.825836784203,9,6,25366.05668711105,10,7,30823.696499928305,10,6,39027.07257604406,8,7,30276.19055760881,9,7,23883.374225080246,8,6,24647.874626714223,8,7,27786.161095826345,8,7,0.4906495151233514,0.02371384461275307
P00408,GENE0408,Protein description 408,GENE0408_HUMAN,124478.92724385289,5,4,146053.5887941018,5,4,108685.18801531185,7,3,143308.08650532935,7,3,142533.36011158657,6,4,148899.7157046435,6,3,1140357.9139700586,7,3,1014550.0578425506,7,4,1187836.9784941033,6,3,0.20740198775262186,0.17186904030521247
P00409,GENE0409,Protein description 409,GENE0409_HUMAN,849.6209700807946,8,6,1033.6725929048253,7,5,,8,6,1173.0578915212589,8,5,1566.8045779198226,8,6,1118.292673372044,8,5,,7,5,877.9587425534397,9,5,868.0667415843383,7,5,0.4401304698171309,0.14262195781331008
P00410,GENE0410,Protein description 410,GENE0410_HUMAN,3660.2479773443256,13,3,3448.623385866062,13,3,3259.8399992980358,13,3,3589.6919501560665,14,2,3750.9774353115213,14,2,4424.961270544674,15,3,2976.6520111837112,14,2,3601.9941266733827,14,3,3453.0758388238446,13,3,0.17800944126644502,0.16143530923784707
P00411,GENE0411,Protein description 411,GENE0411_HUMAN,2465.1342964893474,3,3,,5,2,2567.113516357418,4,3,2805.8703162668553,3,3,2370.385279429376,4,2,3342.328521183622,4,3,2065.347367277194,5,3,2624.417998376424,5,3,2287.7758953430052,4,2,0.16056781402508413,0.45157086306832556
P00412,GENE0412,Protein description 412,GENE0412_HUMAN,465.92418972598995,5,6,589.6061313748598,4,6,582.852661120237,6,5,676.6574428131299,5,5,679.6872476377682,5,6,694.4484511500343,6,6,497.0749270362041,5,6,487.8037779984963,5,6,,6,6,0.3320621083074986,0.04044306228332904
P00413,GENE0413,Protein description 413,GENE0413_HUMAN,11729.395458842077,10,7,11399.375357926,9,8,10317.214511789178,9,8,15723.745805858147,9,8,10332.565728020396,8,8,11813.365085235715,8,8,10849.084252920371,9,7,,10,8,9202.7096747688,9,8,0.15880883994265105,0.44413549634425986
P00414,GENE0414,Protein description 414,GENE0414_HUMAN,116616.73404593964,3,4,126273.27779465084,4,3,119850.35478010144,2,3,132551.33890232706,2,3,151281.86824220017,3,3,149753.45098627466,2,4,94776.06702922373,3,3,127429.74205542878,3,4,91303.09480156412,2,4,0.2556070692914538,0.02165019392886288
P00415,GENE0415,Protein description 415,GENE0415_HUMAN,21757.50177697808,7,1,18918.988493970908,7,1,18189.746251819088,8,2,275546.8587834027,9,1,268412.81771775585,8,1,282123.91727073595,7,1,16652.769996762407,7,2,19527.16937175522,9,2,15686.156438819613,9,2,3.814797073620003,1.22234242025219e-06
P00416,GENE0416,Protein description 416,GENE0416_HUMAN,37412.131466018924,5,1,38755.98028274615,3,1,47002.0216457206,3,1,55866.29465252647,4,1,44243.62083669074,3,1,51373.42315819732,3,1,40973.049464303986,5,1,41630.00961880461,5,2,41548.63741417052,4,2,0.29927396168340437,0.10270793568753045
P00417,GENE0417,Protein description 417,GENE0417_HUMAN,247248.6950113022,12,5,213362.27075925987,14,5,208589.19950633874,14,4,245466.09946339868,12,4,274198.37404807616,14,5,213252.48229993632,14,5,162675.36801946897,14,4,171067.29184684387,14,4,180471.65484109992,12,5,0.12779129795708144,0.38159334703964237
P00418,GENE0418,Protein description 418,GENE0418_HUMAN,325502.3088391989,12,7,325850.6715430899,13,7,306153.8409982321,13,7,436916.5429691315,13,7,372069.9917918211,12,7,407724.72488308395,11,7,251315.74619590657,13,7,282798.5023743091,12,6,344331.3140431152,11,6,0.34313056280833365,0.009491202372595358
P00419,GENE0419,Protein description 419,GENE0419_HUMAN,26955.894262872614,1,6,28570.291321583936,1,6,29417.808502274824,2,5,34317.43614514548,3,6,28118.22160816831,3,5,29529.601472962117,1,6,20567.009110987176,1,6,23191.666960437014,3,5,29309.756620862066,2,5,0.11026757186595759,0.30622367450791654
P00420,GENE0420,Protein description 420,GENE0420_HUMAN,385738.09996798733,7,3,352403.93456453097,7,3,430572.10493939754,7,2,1986207.6559670456,9,3,2312059.6612101076,8,3,1823429.2795534634,8,2,2413050.670769321,7,3,2231851.5251726587,9,2,2808837.2722932803,7,2,2.386842360796461,5.2473047572595464e-05
P00421,GENE0421,Protein description 421,GENE0421_HUMAN,33976.08700160461,3,6,38878.762240484946,4,7,30804.551093177295,3,6,35620.64347361973,5,6,40521.20676461561,5,7,37935.98880568954,3,7,28108.71241322385,5,6,33562.36650439004,5,7,32982.433582542406,4,7,0.14277078369567775,0.2684024790710696
P00422,GENE0422,Protein description 422,GENE0422_HUMAN,9144.342123417557,9,2,7471.473698231678,9,3,7558.941703434023,8,2,7273.348100222963,9,2,9707.812060665405,8,3,8744.880507818505,8,2,6021.26878585848,10,2,7218.148934499513,9,3,5947.630774729923,8,2,0.0859159992496501,0.6069407868707843
P00423,GENE0423,Protein description 423,GENE0423_HUMAN,10649.891297428583,10,4,10558.554179753823,9,4,10794.338425270314,9,4,13210.677123567802,9,5,11723.915478729888,10,5,15267.191028215477,9,4,10724.570223966773,9,5,9280.841192614804,8,4,10574.557708199143,8,5,0.3206892371472527,0.04406516707940692
P00424,GENE0424,Protein description 424,GENE0424_HUMAN,3298.9375379971248,15,7,3122.526143105009,13,7,2182.9434509966986,13,7,2853.44112005114,14,7,2889.4257592368003,13,6,2721.7025510734306,14,7,,13,6,2831.4920955592415,14,7,2516.3203089330723,15,6,-0.0009982895994600227,0.9960303004824325
P00425,GENE0425,Protein description 425,GENE0425_HUMAN,6251.626039332401,5,6,8115.649680545492,4,6,6624.7247336493865,5,6,6744.663458507496,5,7,9282.90427229732,5,6,8885.43478471851,5,7,6315.180127720852,4,7,5405.176224739209,5,6,6799.385767698277,4,7,0.242322163001349,0.25809433075796784
P00426,GENE0426,Protein description 426,GENE0426_HUMAN,17202.95089520514,7,5,18721.17615345186,7,6,19940.59941608531,9,5,28978.198639463648,9,6,,7,6,25701.297807255385,8,5,19409.85800579936,7,5,17843.570895780584,9,6,14866.108608022301,9,5,0.5540592601597822,0.012422445570287599
P00427,GENE0427,Protein description 427,GENE0427_HUMAN,163713.24662694658,13,3,179402.09904266405,15,3,120659.1963848,14,4,156478.05998540224,15,4,170520.91302611286,13,4,143632.27185462086,15,3,133477.7352685635,13,4,118622.17973697965,15,4,124801.37289515651,14,4,0.037661100249493984,0.850357067159674
P00428,GENE0428,Protein description 428,GENE0428_HUMAN,696969.4133051161,3,7,638822.593177199,3,7,634200.9379730169,4,6,657804.0994103905,4,7,757917.7505081836,3,7,727132.5838194318,2,7,570497.7674826441,2,7,482936.95896912954,3,6,570527.763368514,3,7,0.12015568245554675,0.18343836765372173
P00429,GENE0429,Protein description 429,GENE0429_HUMAN,3217.060684689568,6,3,4008.582672971689,5,3,3029.4737907423137,5,3,3332.1477815970766,4,3,3627.2199125687503,5,4,3109.320069683323,4,3,2653.002458964208,6,3,,5,3,2473.7188731882143,5,3,-0.018662289133843046,0.8993985861751581
P00430,GENE0430,Protein description 430,GENE0430_HUMAN,57534.346667680074,10,4,59646.7922389528,11,4,66754.89251918024,10,4,74471.64442746142,11,4,72277.21959609332,10,3,83031.97341573647,11,3,10442.223308454852,10,3,9052.842416451553,12,4,9160.766531005347,11,3,0.3213858706182027,0.02229546965146017
P00431,GENE0431,Protein description 431,GENE0431_HUMAN,5271.6461336348575,4,5,5821.687566236686,3,4,4926.961580522042,4,5,6075.85459946123,3,5,5786.863053821826,3,4,5269.341463408085,2,4,5569.342809611136,3,4,4477.048921532626,2,4,5369.452403913474,2,4,0.09770078395122184,0.3495830829731781
P00432,GENE0432,Protein description 432,GENE0432_HUMAN,90931.58254942043,5,6,77978.08410808924,4,5,72818.96899452899,4,6,76217.77079523586,4,6,79974.1320211834,5,6,79847.45538996655,3,6,61718.79383998648,3,5,63997.35083142558,5,5,59925.88445760199,5,6,-0.02841907001817745,0.7850694018828797
P00433,GENE0433,Protein description 433,GENE0433_HUMAN,23818.65799850731,13,2,27044.98481758843,13,3,30093.80298380961,15,2,32917.25189139941,15,2,22251.09414800666,13,2,31653.418405612825,14,2,20991.176223395087,15,3,20595.23518481448,14,3,26581.005760467946,14,2,0.08605394552364842,0.6953983567668676
P00434,GENE0434,Protein description 434,GENE0434_HUMAN,1126.7784206746358,8,8,1639.3057420227835,9,7,1671.7561543748068,10,8,1829.0072853996105,9,7,1850.1347468252977,10,8,1639.5868687876211,9,8,1152.2937254976869,8,7,1209.9616593661601,9,8,1057.1817866369884,10,7,0.28179009649486453,0.2187139127155543
P00435,GENE0435,Protein description 435,GENE0435_HUMAN,143538.62604626376,1,8,141128.86017581224,1,7,154252.6518416943,3,8,190858.4055723047,3,8,193750.27824891522,3,7,153197.10775155367,1,8,144074.7924086206,3,7,140090.0611638328,2,8,140931.09347953406,3,8,0.28611427260662836,0.06975672668430541
P00436,GENE0436,Protein description 436,GENE0436_HUMAN,13497.268972212945,12,3,13762.55641850766,12,3,10540.443472937546,13,2,15086.934856465718,14,3,12611.565361895104,14,2,13699.442384785863,12,2,8259.377723259087,12,3,9252.326799862609,13,2,11357.755919884117,13,3,0.13760422963592767,0.39530966011564866
P00437,GENE0437,Protein description 437,GENE0437_HUMAN,14258.37027667654,9,2,13281.332759691919,9,3,10102.754402549434,8,3,15394.006626458397,8,3,14642.66749339581,9,2,14362.16640702179,7,3,11225.169148089351,9,2,9205.160375522044,9,2,11225.695261170908,9,2,0.25295428494298733,0.17678261461615014
P00438,GENE0438,Protein description 438,GENE0438_HUMAN,4562.833504864651,9,1,5020.072005989854,8,1,5903.851606658188,7,1,5949.804262854033,7,1,4479.29771207783,7,2,5940.264723761705,7,2,3842.1296161063233,7,1,4073.5382981231146,8,1,4266.926041979207,8,2,0.07578248666561116,0.6857912934039566
P00439,GENE0439,Protein description 439,GENE0439_HUMAN,10210.74535139334,15,4,11317.975176905087,15,3,10705.304260599638,13,3,,15,3,14368.911111071306,15,3,12017.842551023246,15,3,10651.415050149502,13,4,11488.259155444117,13,4,9336.78507006668,15,3,0.29172104482211125,0.07829663558029835
P00440,GENE0440,Protein description 440,GENE0440_HUMAN,64577.455409455,5,3,71511.20531934914,6,2,75363.01468766424,5,3,106552.68574893162,7,2,90362.34601699063,6,3,92867.42659869179,5,3,58447.3801000738,5,3,62413.83514227003,5,2,67991.69914912578,7,2,0.4537776152230819,0.00996060300968705
P00441,GENE0441,Protein description 441,GENE0441_HUMAN,23039.540711609337,7,7,22630.988598869164,7,8,19472.89910340254,5,8,2250.7562206045563,6,7,2332.12045286854,5,8,2174.044828597024,7,8,21137.07944889417,7,7,18573.089041534124,5,7,,6,7,-3.2657432452631685,2.410642858039443e-06
P00442,GENE0442,Protein description 442,GENE0442_HUMAN,46236.658213184,10,8,54463.99758250279,8,7,68894.62985801647,9,7,88612.44537870973,8,7,67789.68704026865,10,8,60974.85915618262,10,8,44380.00970774736,9,7,,9,7,,10,7,0.3593527084754573,0.19568058255093848
P00443,GENE0443,Protein description 443,GENE0443_HUMAN,49389.090138658416,6,6,49257.374102484886,5,7,58246.82272301703,6,6,73299.8704322831,5,7,57320.09805773367,5,7,73766.85287071136,4,7,48839.19108475561,5,7,48645.24830895786,4,6,64055.07272475839,6,7,0.3763709821275718,0.05925178934993487
P00444,GENE0444,Protein description 444,GENE0444_HUMAN,302666.7522272421,3,3,404682.756953391,3,3,334468.9635108882,2,3,409617.254150858,4,3,367207.647698371,4,2,295357.60845974233,2,3,251025.83151543819,4,3,326323.1677469035,2,2,298440.7930518421,2,3,0.038980480235650816,0.843673576774375
P00445,GENE0445,Protein description 445,GENE0445_HUMAN,20047.90186668256,2,5,18844.25360163249,2,5,20460.653347888776,3,5,,3,5,23408.011189278935,3,6,20349.732138446245,3,5,14592.210332746508,2,5,14887.457342155394,4,5,16970.61959410922,4,6,0.14253004291183302,0.20476831229730624
P00446,GENE0446,Protein description 446,GENE0446_HUMAN,2998.7595078249074,6,5,2085.8404747080613,4,4,,6,4,3312.275442046999,5,5,3050.212652976512,4,5,2995.0673275724084,5,4,3386.929406319048,5,4,2075.1214618428617,6,5,2427.369779900872,5,5,0.3172763113297563,0.21691633914398475
P00447,GENE0447,Protein description 447,GENE0447_HUMAN,228735.07016447932,2,2,182867.01020554334,2,3,179270.54524340548,3,3,13719.995256003558,3,2,15249.71147108397,4,2,13913.96362054427,2,2,201925.6565893172,2,2,179224.92213777857,4,2,232921.96757679692,2,3,-3.7769332603869312,6.5785753793665355e-06
P00448,GENE0448,Protein description 448,GENE0448_HUMAN,19748.74628677014,7,4,20094.27572337008,7,5,21036.89031488313,7,5,23552.909390563866,9,4,18615.356811497888,9,5,18824.447992021942,9,5,15206.267735327909,7,5,15833.227885939263,9,5,19439.5033706604,7,4,-0.005486999151868233,0.9638696381307018
P00449,GENE0449,Protein description 449,GENE0449_HUMAN,214061.73460290208,13,3,262599.8572529559,14,3,361598.0794544952,14,3,319524.21364066296,14,3,221936.54040550592,14,2,241052.47074658517,14,3,249467.47799704465,15,3,184996.14436216044,13,3,169773.71819211697,15,3,-0.08328679130356775,0.7744218618680475
P00450,GENE0450,Protein description 450,GENE0450_HUMAN,57081.27791830482,4,7,69917.27361659611,4,8,67769.73762408928,6,7,1172460.6208408226,6,8,1655050.6623944454,5,8,1333495.723826773,5,7,55174.23875152168,5,8,54830.12515873686,6,8,63809.40289434915,6,7,4.407962955690069,1.3534583010670365e-05
P00451,GENE0451,Protein description 451,GENE0451_HUMAN,23957.08557496931,2,2,27140.066285117595,3,3,28147.343276009466,3,2,30810.399880625653,3,2,25527.256734331768,1,3,30310.959020039267,3,2,290687.0421622228,3,3,262279.2389167646,1,3,249386.07380946502,2,3,0.12713999972442558,0.31881304118304454
P00452,GENE0452,Protein description 452,GENE0452_HUMAN,64817.55682397846,1,4,55157.27574986803,2,4,64431.17102227783,3,4,65334.32327185415,3,3,88088.40892278831,3,3,55559.66833095853,1,3,42140.019458500734,2,3,49033.32450676215,1,4,48081.87331553884,2,4,0.15771220991268642,0.4927185331384055
P00453,GENE0453,Protein description 453,GENE0453_HUMAN,999134.4792177094,5,2,943839.7919368029,5,2,1036755.7821266223,4,3,1126124.6929685173,5,3,1023288.2165418519,5,2,1210391.9728245835,5,3,836828.7593492675,5,2,934450.9117115616,5,3,697570.9958194259,5,2,0.1708708945086599,0.10095174910853454
P00454,GENE0454,Protein description 454,GENE0454_HUMAN,1147346.696255444,10,5,1021009.6641408693,8,4,1186420.1031929094,9,4,1721787.87287306,10,5,1391839.7634752262,10,4,1110779.5902078468,9,4,948477.9725047512,8,4,1117013.9465236675,9,5,944635.0686257264,10,5,0.31252008155724553,0.18250540964728804
P00455,GENE0455,Protein description 455,GENE0455_HUMAN,36585.46502563654,7,5,32228.842212141193,7,6,37931.97358594359,9,6,38686.242445624644,9,5,45715.538954970034,8,6,37109.489486202634,8,5,443977.49316417414,8,5,520013.24032665644,8,5,388028.74142122833,9,6,0.18441866517395944,0.18807913041267732
P00456,GENE0456,Protein description 456,GENE0456_HUMAN,43890.28053941911,8,8,37667.03088478088,8,8,36695.78272555953,8,8,40974.461564304176,6,7,44051.38681875361,8,8,59272.436871740196,6,7,37924.618926610645,7,8,39157.25593762185,7,8,39193.13118157172,6,8,0.27281857441341195,0.2077843865093497
P00457,GENE0457,Protein description 457,GENE0457_HUMAN,189445.90593006194,10,4,174017.14954620102,11,4,253271.4387065729,10,3,325276.6660973699,11,4,286716.2967254427,12,4,236567.86126548686,10,3,180341.22331442375,12,4,171441.02975501522,11,3,188444.97155301034,12,4,0.4672818280956399,0.09163760232705107
P00458,GENE0458,Protein description 458,GENE0458_HUMAN,7031.177491846574,6,2,7585.919409150765,8,3,8205.104879902816,6,2,9186.761006316689,6,3,8498.23573377961,7,2,9838.713686916142,8,3,7500.960759095221,7,2,7525.478897157208,7,2,5027.52621318552,7,2,0.27052574580578614,0.03798590569856162
P00459,GENE0459,Protein description 459,GENE0459_HUMAN,56105.00778006616,10,1,63651.54682419298,9,2,43261.08684464819,10,1,83104.721476101,11,1,75164.20530193447,11,1,51868.185000986465,10,1,9806.116105353594,11,2,9600.31415175621,9,2,11850.213621993118,11,2,0.3561436946786394,0.24857509912081507
P00460,GENE0460,Protein description 460,GENE0460_HUMAN,32207.105479405458,13,5,35249.18409486093,13,5,27135.342477595295,13,6,33538.37106726995,13,6,,13,6,31914.47874112581,15,5,29062.257686152017,14,6,29455.139714424935,13,5,29722.65378266542,15,6,0.061631188966282835,0.7001386174882003
P00461,GENE0461,Protein description 461,GENE0461_HUMAN,62958.82180118383,3,8,63776.9181486046,4,7,63083.82235849667,4,7,63517.721185026734,5,8,62602.29161724874,5,7,59162.99596581405,5,8,57740.622658248896,4,7,51848.52974746767,5,7,44967.543767762516,5,7,-0.03554775706109581,0.3260503884288659
P00462,GENE0462,Protein description 462,GENE0462_HUMAN,6485.797938781276,2,2,8002.667777423471,3,2,8155.196934340474,3,1,9228.511465232628,4,1,9315.739115974513,3,1,11415.07609498362,3,2,5791.560016352598,4,2,6182.974276256642,3,2,7482.410637196093,4,2,0.4043839869098491,0.0500511561612274
P00463,GENE0463,Protein description 463,GENE0463_HUMAN,1544.3648495631028,4,7,1772.4115462859277,3,8,2233.4728347218297,5,8,2676.590789407805,3,7,,4,7,2684.2396694150707,3,7,212.82412035018856,4,7,260.45820367238,5,8,303.5238754651046,3,8,0.5517830536765178,0.07060921940005756
P00464,GENE0464,Protein description 464,GENE0464_HUMAN,937.3210102189967,3,2,1008.6960484736551,3,2,849.5539718599234,5,2,888.8931787514784,5,3,,4,3,,3,2,782.0903024851982,4,2,710.5961154896842,4,2,804.8343188581784,5,2,-0.06454608780556903,
P00465,GENE0465,Protein description 465,GENE0465_HUMAN,5011.249559345027,11,7,4730.326124626082,11,7,3992.8225422910077,11,8,,12,7,4703.926867073601,13,7,5955.94156563634,12,8,4628.85871248093,11,7,4217.164956726482,13,7,3031.6664655355794,12,8,0.21592461809034447,0.3153088529880264
P00466,GENE0466,Protein description 466,GENE0466_HUMAN,11791.39496821858,12,2,16633.5857375608,12,2,13854.026304438004,14,1,18353.20878859151,12,2,,13,1,17429.261256864982,14,1,13196.288987470218,12,1,13288.20583313208,12,2,14391.672073827276,12,2,0.3580588937803313,0.15168774635821017
P00467,GENE0467,Protein description 467,GENE0467_HUMAN,20314.321379938072,10,7,21642.018577535415,10,7,21238.561751614005,10,8,22627.154251463868,10,7,24054.940918543678,9,8,23682.172796395884,9,8,14833.42205552168,9,7,,10,7,13081.910480523025,10,7,0.15505718342659236,0.01492897320339701
P00468,GENE0468,Protein description 468,GENE0468_HUMAN,1044333.3108737373,4,4,868255.8752578886,4,4,931741.2487846777,3,3,1023798.9247375063,4,3,962428.4307286686,3,4,869448.6742025776,3,4,844322.6328349398,2,3,937606.576793006,3,4,855853.3289103066,4,3,0.006693550603838361,0.9516153526848661
P00469,GENE0469,Protein description 469,GENE0469_HUMAN,231565.94926434945,14,2,187263.92650851587,12,2,261801.52159350185,12,2,238657.29643594183,14,2,269681.1952068538,13,3,219972.40851306767,13,3,196763.9370682691,13,3,214879.94562494307,14,2,187192.4553994642,12,2,0.1061827744852053,0.5549720677548073
P00470,GENE0470,Protein description 470,GENE0470_HUMAN,5889.853749501268,12,2,5603.882820363565,13,3,6283.935328008206,14,3,7433.435260146266,12,3,7189.6581154307,13,3,8799.057511268764,12,3,37195.57952199644,14,3,47042.03236525828,12,2,40049.100892466275,14,2,0.3936581080344901,0.018215125645634985
P00471,GENE0471,Protein description 471,GENE0471_HUMAN,53680.45749128454,6,1,57737.992768160744,7,1,57479.57358954237,6,2,61950.74707232506,7,1,52147.82027553845,6,1,67068.58032244533,7,2,50877.82659094233,8,1,51024.04506719623,7,1,55339.405251399505,7,2,0.09413280498467635,0.4495195289757782
P00472,GENE0472,Protein description 472,GENE0472_HUMAN,16760.798604435902,11,6,16443.460729671075,9,7,15687.167694978578,9,7,19886.62575454246,10,7,18867.84782985836,10,6,19123.985023852576,11,6,79641.52749832055,11,6,62462.905635519375,10,6,58091.20791380988,11,7,0.24364060238608864,0.002584218030252416
P00473,GENE0473,Protein description 473,GENE0473_HUMAN,16209.420565349496,9,2,16632.27977465107,9,1,17214.973587434066,9,2,29748.962121169556,9,1,24046.5807983834,8,2,22178.397119462566,10,2,16949.136069326836,8,1,13582.220113989602,10,1,16521.45257213919,8,1,0.5911145970410914,0.010120413262342873
P00474,GENE0474,Protein description 474,GENE0474_HUMAN,31668.96189585072,7,5,37738.56753165788,9,4,37876.8378580851,7,5,58018.63169344873,8,4,57706.82604474615,9,4,51778.151063717814,8,5,42542.33011148328,8,5,44009.845916760765,9,5,48573.47409115551,8,5,0.6457255238833852,0.003028597422851241
P00475,GENE0475,Protein description 475,GENE0475_HUMAN,110692.51897203938,5,7,91623.80370396655,6,8,101282.68975922251,6,7,98864.99901131816,6,7,122828.59450424035,6,8,109974.8623736345,5,8,615965.740690052,5,8,766714.6908363467,6,8,732341.2670067403,6,8,0.1262041029145422,0.35195393039380785
P00476,GENE0476,Protein description 476,GENE0476_HUMAN,17760.86239319444,6,4,19055.512876349057,6,4,22077.571529328638,4,3,18570.331284561005,6,3,18846.868343520448,6,4,21268.967918369814,6,4,13543.456155618132,6,4,15263.961446038074,4,4,15071.922231741555,6,4,-0.00180572028576087,0.9878367014364028
P00477,GENE0477,Protein description 477,GENE0477_HUMAN,196858.58910800325,6,7,168748.47793848536,5,7,205284.62059583224,4,6,238824.2449212509,4,6,223435.8811745443,5,7,264879.0481985014,6,6,184628.06458279627,4,7,160993.197163824,4,7,174771.18526701667,5,7,0.3504947405006327,0.034976526382481984
P00478,GENE0478,Protein description 478,GENE0478_HUMAN,3423.137520656608,6,5,3984.521629352243,6,6,3802.905511734231,7,5,4979.273825382278,5,6,4736.212404593151,6,6,5173.151593707486,7,5,,6,6,3771.3302905765495,5,5,3477.2850576187693,5,6,0.41129491097507653,0.005267674152089442
P00479,GENE0479,Protein description 479,GENE0479_HUMAN,30047.32992787829,10,6,28312.690807634637,12,6,24260.275665706766,10,6,30546.757361833967,10,7,39546.13364891059,10,7,34881.50138251764,11,7,25053.08107603026,11,7,26643.41957445198,10,6,27034.243140246002,10,6,0.34324547489357826,0.07233463000088254
